gender,occupation,party,ep_date,name,bio
1,POLITICIAN,LABOR,2013-03-18,ALANNAH MACTIERNAN,"Alannah MacTiernan graduated in arts and later law at the University of Western Australia. Her first role was working for the Commonwealth Government in Aboriginal Employment and Training around Western Australia.
She then established and operated a local newspaper, the 
. This paper eventually became the 
 and is still in publication today.
In 1987, Alannah began legal practice in the commercial law department of Dwyer Durack, becoming a partner in 1992.
After establishing the Inner City Residents Action Group, Alannah was elected to the Perth City Council in 1988 and served as a Councillor until 1994. 
Alannah was appointed as an inaugural member of the WA Heritage Council in 1990.
She was first elected to Parliament in 1993 as Member of the Legislative Council and in 1996 as the member for Armadale in the Legislative Assembly.
Alannah served as WA Minister for Planning and Infrastructure from 2001- 2008. In this role she oversaw many major projects including roads, ports and of course the development of the Mandurah Railway line, at the time a highly controversial project but now widely hailed as a success.
Alannah had responsibility for three government departments, four land development authorities and eight port authorities and oversaw big changes in policy and practice throughout her portfolio. During that time, she pioneered deliberative democracy processes that bought competing interests together to develop practical solutions and directions for Government decision making.
After 17 years in State Parliament, Alannah resigned in 2010 to contest the Federal election in the seat of Canning. Despite a good swing, she was unsuccessful and now divides her time between the non for profit sector and working for companies involved with renewable energy and affordable housing.
Alannah was elected as the mayor of the City of Vincent in October 2011."
1,POLITICIAN,LABOR,2014-05-12,ALANNAH MACTIERNAN,"After 17 years in the WA State parliament, Alannah McTiernan successfully switched to the federal sphere in the 2013 election, winning the seat of Perth for the ALP. A 2010 attempt to enter federal politics via the WA seat of Canning was unsuccessful, although Alannah achieved a significant swing. 
Alannah graduated in arts and later law at the University of WA. Her first role was working for the Commonwealth Government in Aboriginal Employment and Training around WA.
She then established and operated a local newspaper, the 
. This paper eventually became the 
 and is still in publication today.
In 1987, Alannah began legal practice in the commercial law department of Dwyer Durack, becoming a partner in 1992.
After establishing the Inner City Residents Action Group, Alannah was elected to the Perth City Council in 1988 and served as a Councillor until 1994. In 2011 she made a return to local government when she was elected Mayor of Vincent, a large local government area covering much of PerthÌâåÕs inner suburbs.
Alannah was first elected to Parliament in 1993 as Member of the Legislative Council and in 1996 as the member for Armadale in the Legislative Assembly.
Alannah served as WA Minister for Planning and Infrastructure from 2001- 2008. In this role she oversaw many major projects including roads, ports and of course the development of the Mandurah Railway line, at the time a highly controversial project but now widely hailed as a success.
Alannah had responsibility for three government departments, four land development authorities and eight port authorities and oversaw big changes in policy and practice throughout her portfolio. During that time, she pioneered deliberative democracy processes that bought competing interests together to develop practical solutions and directions for Government decision making.
She is now shadow parliamentary secretary for regional development and infrastructure, and for WA."
1,POLITICIAN,LABOR,2015-04-13,ALANNAH MACTIERNAN,"After 17 years in the WA State Parliament, Alannah MacTiernan successfully switched to the federal sphere in the 2013 election, winning the seat of Perth for the ALP. A 2010 attempt to enter federal politics via the WA seat of Canning was unsuccessful, although Alannah achieved a significant swing. 
Alannah graduated in arts and later law at the University of WA. Her first role was working for the Commonwealth Government in Aboriginal employment and training around WA.
She then established and operated a local newspaper, the 
. This paper eventually became the 
 and is still in publication today.
In 1987, Alannah began legal practice in the commercial law department of Dwyer Durack, becoming a partner in 1992.
After establishing the Inner City Residents Action Group, Alannah was elected to the Perth City Council in 1988 and served as a councillor until 1994. In 2011 she made a return to local government when she was elected Mayor of Vincent, a large local government area covering much of PerthÌâåÕs inner suburban area.
Alannah was first elected to the WA Parliament in 1993 as a Member of the Legislative Council. In 1996 she entered the Legislative Assembly as the member for Armadale and served as Minister for Planning and Infrastructure from 2001-08. In this role she oversaw many major projects including roads, ports and the development of the Perth-Mandurah railway line. At the time this was a highly controversial project but is now widely hailed as a success.
Since March 2014 Alannah has been shadow parliamentary secretary for regional development and infrastructure, and for WA."
0,EX-POLITICIAN,LIBERAL,2009-09-24,ALEXANDER DOWNER,"After nearly 12 years as Minister for Foreign Affairs in the Howard government, Alexander Downer is one of AustraliaÌâåÕs best known politicians.
Alexander, who entered Parliament for the South Australian seat of Mayo in 1984, retired from Parliament last year. He is now a consultant for Bespoke Approach in Adelaide, and is a Special Envoy for the United Nations seeking to resolve the vexed Cyprus issue.
Born in Adelaide in 1951, Alexander comes from a powerful political lineage. His father, Sir Alexander, was a Cabinet Minister and High Commissioner in London from 1964-72. His grandfather, Sir John, was twice South Australian Premier and was a Senator in the first Parliament of 1901.
Alexander, who has an Arts degree in politics and economics, was educated in Australia and England. Before entering Parliament he worked as an economist, a diplomat and as a political adviser to both Malcolm Fraser and Andrew Peacock.
A front-bencher from 1987, Alexander came to national prominence in May 1994 when he was elected Leader of the Opposition, with Peter Costello as his deputy. It was an ill-fated appointment, and Alexander handed the leadership to John Howard in January 1995.
As Foreign Affairs Minister Alexander was at the forefront of some tumultuous international developments: the Iraq war, the struggle for East Timorese independence, the Bali terror attacks of 2002 and the devastating tsunami of 2004. He was in Indonesia in 2007 when many friends and colleagues were killed or badly injured in a plane crash at Jogjakarta. Other prominent issues on his watch include the incarceration of David Hicks in Guantanamo Bay, the AWB scandal and the furore over non-existent weapons of mass destruction in Iraq.
Alexander and his wife Nicky live in Adelaide and have four adult children."
0,COMIC,,2009-10-15,ALEXEI SAYLE,"Alexei Sayle is regarded as one on the UKÌâåÕs most legendary comics, now also well known as an actor, author and political activist. He began his career with the infamous Comedy Store in London in 1979 and became the leading performer at renowned comedy club, The Comic Strip.
Alexei has starred in 24 TV series and is best remembered in Australia for the series 
, where he played the landlord , Mr Balowski. In the 80ÌâåÕs he had two top-selling hit singles - ""DidnÌâåÕt You Kill my Bruvver"" and ""Ullo John! Gotta New Motor?"" Alexei has also appeared in movies, notably 
 and 
.
Much of Alexei's humour is in the tradition of Spike Milligan and Monty Python. He combines cynicism, intelligence and political awareness in his acts, as well as a healthy dose of slapstick. His trademark appearance is a shaved head and a suit thatÌâåÕs a size too small.
Alexei was born in 1952 in Liverpool, UK and describes himself as being of Lithuanian Jewish extraction. His parents were active in the Communist Party and in the aftermath of the May 1968 French uprising Alexei followed in their footsteps and joined the party himself. He remains politically outspoken and in January 2009, took part in a protest in London in opposition to Israel's ground attack on Gaza.
He has now written eight novels, the latest being 
. In 1995, he was awarded an honorary professorship at Thames Valley University.
Alexei lives in London with his wife, Linda Rawsthorn."
0,AUTHOR,,2014-08-25,ALI ALIZADEH,"Ali Alizadeh was born in Iran in 1976, two years before the Islamic revolution that toppled the Shah of Iran. His family migrated from oppressive, war-torn Iran to Australia when Ali was fourteen. He liked living in sunny Queensland but endured racism at school and faced the trials of learning a new language.
A writer since an early age (he won a prize for writing at age 13) his books have elicited strong responses from readers. They include the new work of fiction Transactions, a collection of poetry Ashes in the Air (shortlisted for the Prime MinisterÌâåÕs Literary Award) and a work of creative non-fiction Iran: My Grandfather. This was shortlisted for a NSW PremierÌâåÕs Literary Award. 
Ali graduated with a BA in creative writing and visual arts from Griffith University in Queensland. He now lives in Melbourne and is a lecturer in creative writing at Monash University."
1,AUTHOR,,2014-09-01,ALISSA NUTTING,"Alissa NuttingÌâåÕs debut novel, 
, was published in 2013. It explores the sociopathic and predatory potential of female sexuality and includes graphic descriptions of a 26-year-old woman having sex with a 14-year-old boy. She is author of the short story collection 
, which won the Starcherone Prize for Innovative Fiction.
She spokes at the Festival of Dangerous Ideas on the controversial topic ÌâåÒWomen are Sexual PredatorsÌâåÓ - dealing with the fact that women are still widely regarded as sexually passive and requiring protection. So that even when individual women are revealed as pedophiles they are often excused and painted as victims by the media rather than criminals.
 
Her fiction has appeared in publications such as 
, and 
; her essays have appeared in 
, and other venues. 
 
An assistant professor of creative writing and English literature at John Carroll University, Alissa lives in Ohio with her husband, her daughter, and two spoiled tiny dogs."
0,OTHER,,2011-10-31,ALLAN ASHER,"Former Commonwealth Ombudsman Allan Asher was thrust into the public spotlight earlier this month when he admitted to having drafted questions for a Greens Senator, Sarah Hanson Young, to ask him at a Senate Committee hearing. As a result the Government, which appointed him to the post in August 2010, declared it had lost confidence in him and Allan resigned.
The Greens declared Allan was the victim of a political assassination and alleged he had been a thorn in the GovernmentÌâåÕs side for his proactive advocacy on behalf of those in immigration detention centres.
Allan has been an outspoken consumer advocate for nearly forty years. 
He began his career with a degree in law from The University of Sydney and is admitted as a Barrister and Solicitor to the High Court.
He spent a total of twenty years at the Australian ConsumersÌâåÕ Association and then the Australian Competition and Consumer Commission, where he became Deputy Chair and Consumer Protection Commissioner.
In 2000 he went to the United Kingdom for ten years. He worked with the ConsumersÌâåÕ Association, the global non-government organisation, Consumers International and was a board member of the Office of Fair Trading. From 2003 to 2008 he was CEO of Energy Watch, a body which protects consumer rights in a deregulated energy market.
After returning to Australia Allan became the inaugural CEO of the Australian Communications Consumer Action Network before taking the role of Commonwealth Ombudsman."
1,EX-POLITICIAN,LIBERAL,2011-02-07,AMANDA VANSTONE,"Amanda Vanstone was a Liberal Senator for South Australia for 23 years, from 1984 to 2007, and was the only female member of the Howard Cabinet following the 1996 election that brought the coalition to power.
For much of her career she was a leading member of the moderate Liberal faction and a mentor to younger Liberal moderates, such as fellow South Australian Christopher Pyne.
In 2010 Amanda returned to Australia after serving for three years as Australian Ambassador in Rome. 
Amanda was born in Adelaide in 1952. She studied Arts and Law at the University of Adelaide and before entering politics worked in the legal area, retailing and small business. In the late 1980s she married Tony Vanstone, a commercial lawyer.
As a Minister in the Howard government Amanda faced several challenges and was at times criticised by those who believed she, and other moderates, had allowed their moderate principles to be overridden by the GovernmentÌâåÕs conservative agenda. As Minister for Employment and Education Amanda was charged with cancelling a number of Keating administration employment programs for budgetary reasons, and was sent to the outer ministry as Minister for Justice in 1997. 
In 2001 she returned to Cabinet as Minister for Family and Community Services, and in 2003 was given the onerous Immigration, Multicultural and Indigenous Affairs portfolio. She had to oversee the GovernmentÌâåÕs Pacific Solution policy to counter boat people, and also decided to abolish the contentious Aboriginal and Torres Strait Islander Commission.
In February 2007 Amanda released the lyrics to her version of a national song, 
. Her dog Gus achieved renown in Rome for biting visitors to the AmbassadorÌâåÕs residence."
1,EX-POLITICIAN,LIBERAL,2011-04-28,AMANDA VANSTONE,"Amanda Vanstone was a Liberal Senator for South Australia for 23 years, from 1984 to 2007, and was the only female member of the Howard Cabinet following the 1996 election that brought the coalition to power.
For much of her career she was a leading member of the moderate Liberal faction and a mentor to younger Liberal moderates, such as fellow South Australian Christopher Pyne.
In 2010 Amanda returned to Australia after serving for three years as Australian Ambassador in Rome. 
Amanda was born in Adelaide in 1952. She studied Arts and Law at the University of Adelaide and before entering politics worked in the legal area, retailing and small business. In the late 1980s she married Tony Vanstone, a commercial lawyer.
As a Minister in the Howard government Amanda faced several challenges and was at times criticised by those who believed she, and other moderates, had allowed their moderate principles to be overridden by the GovernmentÌâåÕs conservative agenda. As Minister for Employment and Education Amanda was charged with cancelling a number of Keating administration employment programs for budgetary reasons, and was sent to the outer ministry as Minister for Justice in 1997. 
In 2001 she returned to Cabinet as Minister for Family and Community Services, and in 2003 was given the onerous Immigration, Multicultural and Indigenous Affairs portfolio. She had to oversee the GovernmentÌâåÕs Pacific Solution policy to counter boat people, and also decided to abolish the contentious Aboriginal and Torres Strait Islander Commission.
In February 2007 Amanda released the lyrics to her version of a national song, Under Southern Stars. Her dog Gus achieved renown in Rome for biting visitors to the AmbassadorÌâåÕs residence. 
Even as a minister under avowed monarchist John Howard, Amanda was an outspoken republican.  She was recently published in the Fairfax press arguing that to put off becoming a republic until the Queen dies is insulting to the Queen."
1,EX-POLITICIAN,LIBERAL,2012-03-05,AMANDA VANSTONE,"Amanda Vanstone was a Liberal Senator for South Australia for 23 years, from 1984 to 2007, and was the only female member of the Howard Cabinet following the 1996 election that brought the coalition to power.
Amanda was born in Adelaide in 1952. She studied Arts and Law at the University of Adelaide and before entering politics worked in the legal area, retailing and small business. In the late 1980s she married Tony Vanstone, a commercial lawyer.
As a Minister in the Howard government Amanda faced several challenges and was at times criticised by those who believed she, and other moderates, had allowed their moderate principles to be overridden by the GovernmentÌâåÕs conservative agenda. As Minister for Employment and Education Amanda was charged with cancelling a number of Keating administration employment programs for budgetary reasons, and was sent to the outer ministry as Minister for Justice in 1997. 
In 2001 she returned to Cabinet as Minister for Family and Community Services, and in 2003 was given the onerous Immigration, Multicultural and Indigenous Affairs portfolio. She had to oversee the GovernmentÌâåÕs Pacific Solution policy to counter boat people, and also decided to abolish the contentious Aboriginal and Torres Strait Islander Commission.
For much of her career she was a leading member of the moderate Liberal faction and a mentor to younger Liberal moderates, such as fellow South Australian Christopher Pyne.
In 2010 Amanda returned to Australia after serving for three years as Australian Ambassador in Rome. Her dog Gus achieved renown in Rome for biting visitors to the AmbassadorÌâåÕs residence. She is an outspoken republican and a renowned cook whose jams are legendary."
1,EX-POLITICIAN,LIBERAL,2012-10-22,AMANDA VANSTONE,"Amanda Vanstone was a Liberal Senator for South Australia for 23 years, from 1984 to 2007, and was the only female member of the Howard Cabinet following the 1996 election that brought the coalition to power.
Amanda was born in Adelaide in 1952. She studied Arts and Law at the University of Adelaide and before entering politics worked in the legal area, retailing and small business. In the late 1980s she married Tony Vanstone, a commercial lawyer.
As a Minister in the Howard government Amanda faced several challenges and was at times criticised by those who believed she, and other moderates, had allowed their moderate principles to be overridden by the GovernmentÌâåÕs conservative agenda. As Minister for Employment and Education Amanda was charged with cancelling a number of Keating administration employment programs for budgetary reasons, and was sent to the outer ministry as Minister for Justice in 1997. 
In 2001 she returned to Cabinet as Minister for Family and Community Services, and in 2003 was given the onerous Immigration, Multicultural and Indigenous Affairs portfolio. She had to oversee the GovernmentÌâåÕs Pacific Solution policy to counter boat people, and also decided to abolish the contentious Aboriginal and Torres Strait Islander Commission.
For much of her career she was a leading member of the moderate Liberal faction and a mentor to younger Liberal moderates, such as fellow South Australian Christopher Pyne.
In 2010 Amanda returned to Australia after serving for three years as Australian Ambassador in Rome. Her dog Gus achieved renown in Rome for biting visitors to the AmbassadorÌâåÕs residence. She is an outspoken republican and a renowned cook whose jams are legendary."
1,EX-POLITICIAN,LIBERAL,2013-02-04,AMANDA VANSTONE,"Amanda Vanstone was a Liberal Senator for South Australia for 23 years, from 1984 to 2007, and was the only female member of the Howard Cabinet following the 1996 election that brought the coalition to power.
Amanda was born in Adelaide in 1952. She studied Arts and Law at the University of Adelaide and before entering politics worked in the legal area, retailing and small business. In the late 1980s she married Tony Vanstone, a commercial lawyer.
As a Minister in the Howard government Amanda faced several challenges and was at times criticised by those who believed she, and other moderates, had allowed their moderate principles to be overridden by the GovernmentÌâåÕs conservative agenda. As Minister for Employment and Education Amanda was charged with cancelling a number of Keating administration employment programs for budgetary reasons, and was sent to the outer ministry as Minister for Justice in 1997. 
In 2001 she returned to Cabinet as Minister for Family and Community Services, and in 2003 was given the onerous Immigration, Multicultural and Indigenous Affairs portfolio. She had to oversee the GovernmentÌâåÕs Pacific Solution policy to counter boat people, and also decided to abolish the contentious Aboriginal and Torres Strait Islander Commission.
For much of her career she was a leading member of the moderate Liberal faction and a mentor to younger Liberal moderates, such as fellow South Australian Christopher Pyne.
In 2010 Amanda returned to Australia after serving for three years as Australian Ambassador in Rome. Her dog Gus achieved renown in Rome for biting visitors to the AmbassadorÌâåÕs residence. 
She is now an ABC presenter on Radio NationalÌâåÕs Counterpoint."
1,EX-POLITICIAN,LIBERAL,2013-05-27,AMANDA VANSTONE,"Amanda Vanstone was a Liberal Senator for South Australia for 23 years, from 1984 to 2007, and was the only female member of the Howard Cabinet following the 1996 election that brought the coalition to power.
Amanda was born in Adelaide in 1952. She studied Arts and Law at the University of Adelaide and before entering politics worked in the legal area, retailing and small business. In the late 1980s she married Tony Vanstone, a commercial lawyer.
As a Minister in the Howard government Amanda faced several challenges and was at times criticised by those who believed she, and other moderates, had allowed their moderate principles to be overridden by the GovernmentÌâåÕs conservative agenda. As Minister for Employment and Education Amanda was charged with cancelling a number of Keating administration employment programs for budgetary reasons, and was sent to the outer ministry as Minister for Justice in 1997. 
In 2001 she returned to Cabinet as Minister for Family and Community Services, and in 2003 was given the onerous Immigration, Multicultural and Indigenous Affairs portfolio. She had to oversee the GovernmentÌâåÕs Pacific Solution policy to counter boat people, and also decided to abolish the contentious Aboriginal and Torres Strait Islander Commission.
For much of her career she was a leading member of the moderate Liberal faction and a mentor to younger Liberal moderates, such as fellow South Australian Christopher Pyne.
In 2010 Amanda returned to Australia after serving for three years as Australian Ambassador in Rome. Her dog Gus achieved renown in Rome for biting visitors to the AmbassadorÌâåÕs residence. 
She is now an ABC presenter on Radio NationalÌâåÕs Counterpoint."
